id,address,price,floor,total_floors,rooms,square,city,remont,balcon,uid,view,year,type_perec,hot_water,fundament,kitchen
1336,"Командорская улица, 5/1",3900000,5,10,1,38.9,Краснодар,design,1,2059593948,garden,2017,Железобетонный,0,0,"17,7 м2"
1337,"улица Григория Булгакова, 8к1",6800000,12,18,1,36.6,Краснодар,design,1,2058055092,garden,2022,Железобетонный,Центральное,0,10 м2
1338,"Воронежская улица, 47Д",7300000,18,24,1,41.1,Краснодар,design,1,2059084797,garden,2021,Железобетонный,Центральное,0,"14,8 м2"
1339,"бульвар Адмирала Пустошкина, 11/3",3950000,12,24,1,39.5,Краснодар,design,1,2059593949,garden,2021,Железобетонный,0,0,"17,7 м2"
1340,"улица имени 40-летия Победы, 178к4",3900000,5,20,1,38.8,Краснодар,design,1,2059572211,garden,0,0,0,0,"17,7 м2"
1341,"улица Западный Обход, 42к7",4990000,2,9,1,37.0,Краснодар,design,1,2058817744,garden,2016,Железобетонный,0,Бетонные столбы,"11,7 м2"
1342,"улица Евгении Жигуленко, 25к3",4050000,6,17,1,40.5,Краснодар,design,1,2059584880,garden,2020,Железобетонный,Центральное,0,"18,7 м2"
1343,"Тополиная улица, 46к2",3900000,7,16,1,38.9,Краснодар,design,1,2059584905,garden,2019,Железобетонный,Центральное,0,"18,7 м2"
1344,"улица Западный Обход, 57к1",3900000,7,16,1,38.9,Краснодар,design,1,2059584957,garden,2022,Железобетонный,0,0,"19,4 м2"
1345,"улица Ивана Беличенко, 97",3850000,8,16,1,38.5,Краснодар,design,1,2059593935,garden,2023,Железобетонный,0,0,"18,5 м2"
1346,"Питерская улица, 40к5",3900000,6,12,1,39.3,Краснодар,design,1,2059593939,garden,2022,Железобетонный,0,0,"17,6 м2"
1347,"Российская улица, 72/4",3850000,9,17,1,38.4,Краснодар,design,1,2059572245,garden,2012,0,0,0,"17,5 м2"
1348,"улица Адмирала Крузенштерна, 6/3",3850000,10,20,1,38.2,Краснодар,design,1,2059572205,garden,2021,Железобетонный,0,0,"17,9 м2"
1349,"улица Героев-Разведчиков, 8к1",5800000,5,17,1,58.2,Краснодар,design,1,2059572241,garden,2020,Железобетонный,Центральное,0,"18,7 м2"
1350,"улица Ивана Беличенко, 85",3950000,11,16,1,39.6,Краснодар,design,1,2059572249,garden,2022,Железобетонный,0,0,"20,6 м2"
1351,"улица им. Мурата Ахеджака, 10А",3850000,16,20,1,38.4,Краснодар,design,1,2059572253,garden,2023,Железобетонный,0,0,"16,9 м2"
1352,"Боспорская улица, 4",3850000,5,18,1,38.5,Краснодар,design,1,2059584865,garden,2020,Железобетонный,0,0,"18,6 м2"
1353,"Конгрессная улица, 31",3950000,7,22,1,39.4,Краснодар,design,1,2059572193,garden,2021,Железобетонный,Центральное,0,"18,6 м2"
1354,"Конгрессная улица, 15",3900000,11,15,1,39.1,Краснодар,design,1,2059584876,garden,0,0,0,0,"18,5 м2"
1355,"Командорская улица, 6",4250000,7,19,1,42.4,Краснодар,design,1,2059572231,garden,2020,Железобетонный,0,0,20 м2
1356,"улица им. Героя Яцкова И.В., 9к1",3950000,15,22,1,39.4,Краснодар,design,1,2059584866,garden,0,0,0,0,"19,5 м2"
1357,"улица Ивана Беличенко, 90к1",3900000,12,16,1,38.9,Краснодар,design,1,2059584896,garden,0,0,0,0,"18,5 м2"
1358,"Московская улица, 133к1",3900000,6,9,1,39.2,Краснодар,design,1,2059572229,garden,2015,0,0,0,"18,4 м2"
1359,"улица им. Героя Яцкова И.В., 15к1",4200000,7,22,1,41.6,Краснодар,design,1,2059572239,garden,2017,Железобетонный,0,Иной,"19,7 м2"
1360,"улица Красных Партизан, 1/4к13",3900000,4,8,1,38.9,Краснодар,design,1,2059584870,garden,2021,Железобетонный,0,0,"18,9 м2"
1361,"улица Евгении Жигуленко, 25к1",3900000,9,17,1,38.4,Краснодар,design,1,2059584940,garden,2018,Железобетонный,0,0,"17,7 м2"
1362,"улица Цезаря Куникова, 24к1",3850000,7,17,1,38.2,Краснодар,design,1,2059584904,garden,2018,Железобетонный,0,0,"17,6 м2"
1363,"улица Евгении Жигуленко, 25к1",3900000,8,17,1,39.0,Краснодар,design,1,2059572228,garden,2018,Железобетонный,0,0,"17,9 м2"
1364,"улица Достоевского, 84/1",3900000,5,24,1,39.2,Краснодар,design,1,2059584918,garden,2010,0,0,0,"17,5 м2"
1365,"улица им. Героя Яцкова И.В., 15к2",5200000,20,21,1,39.5,Краснодар,design,1,2057193977,garden,2017,Железобетонный,0,Иной,10 м2
1366,"улица Евгении Жигуленко, 25к2",3900000,9,17,1,38.5,Краснодар,design,1,2059572260,garden,2020,Железобетонный,0,0,"18,6 м2"
1367,"улица Декабристов, 59",3900000,11,23,1,39.3,Краснодар,design,1,2059584869,garden,2018,Железобетонный,Центральное,0,"18,9 м2"
1368,"улица Красных Партизан, 1/4к16",3900000,5,19,1,38.9,Краснодар,design,1,2059584956,garden,2022,Железобетонный,0,0,"18,6 м2"
1369,"улица Петра Метальникова, 3/1к2",3950000,3,17,1,40.2,Краснодар,design,1,2059572258,garden,2016,Железобетонный,0,Сплошной,"19,9 м2"
1370,"улица Александра Покрышкина, 25Ак1",4000000,15,21,1,40.3,Краснодар,design,1,2059584877,garden,2018,Железобетонный,0,Иной,"19,6 м2"
1371,"Командорская улица, 15",5100000,3,17,1,38.6,Краснодар,design,1,1892950325,garden,2022,Железобетонный,0,0,"10,6 м2"
1372,"улица Героев-Разведчиков, 10",3800000,9,17,1,38.2,Краснодар,design,1,2059572242,garden,2016,Железобетонный,0,0,"19,7 м2"
1373,"улица имени П.М. Гаврилова, 88",15000000,15,17,1,50.0,Краснодар,design,1,1803875993,garden,1951,Деревянный,0,Ленточный,"13,5 м2"
1374,"улица имени Героя Георгия Бочарникова, 4к1",4950000,15,24,1,34.2,Краснодар,design,1,2034638648,garden,2022,Железобетонный,0,0,"9,2 м2"
1375,"улица имени Генерала Корнилова, 10",6300000,6,9,1,38.0,Краснодар,design,1,2059305502,garden,2024,Железобетонный,0,0,16 м2
1376,"улица Героев-Разведчиков, 11/5",7000000,8,24,1,38.0,Краснодар,design,1,2058602831,garden,2022,Железобетонный,0,0,10 м2
1377,"улица имени Героя Георгия Бочарникова, 4к1",4950000,15,24,1,34.2,Краснодар,design,1,2058695023,garden,2022,Железобетонный,0,0,"9,2 м2"
1378,"улица имени Симиренко, 37",6800000,3,15,1,42.0,Краснодар,design,1,2058318117,garden,2014,0,0,0,13 м2
1379,"улица Евгении Жигуленко, 13к2",4800000,1,17,1,34.5,Краснодар,design,1,2058422238,garden,2020,Железобетонный,0,0,18 м2
1380,"Заполярная улица, 39к4",4350000,12,19,1,35.0,Краснодар,design,1,2058443500,garden,2020,0,0,0,10 м2
1381,"Командорская улица, 15/1",5100000,3,17,1,39.9,Краснодар,design,1,2058126183,garden,2021,Железобетонный,Центральное,0,10 м2
1382,"Российская улица, 267к4",4200000,8,16,1,39.0,Краснодар,design,1,2058635280,garden,2022,Железобетонный,Центральное,0,18 м2
1383,"Белозёрская улица, 30А",3130200,3,9,1,28.2,Пермь,well_done,1,2058714812,park,2024,0,0,0,5 м2
1384,"бульвар Гая, 15",3250000,5,9,1,34.0,Тольятти,well_done,1,2059803037,park,1982,Железобетонный,0,0,8 м2
1385,"Обрывная улица, 132",6775000,8,24,1,36.2,Краснодар,simple,1,2059588173,garden,2023,0,0,0,"12,4 м2"
1386,"улица имени Генерала Корнилова, 9",3650000,4,9,1,33.3,Краснодар,simple,1,2056909786,garden,0,0,0,0,"12,7 м2"
1387,"улица Лизы Чайкиной, 56",3100000,3,9,1,32.7,Тольятти,without_repair,1,2058713007,park,1976,Железобетонный,0,0,"7,5 м2"
1388,"улица Окулова, 20",7550000,17,24,1,38.5,Пермь,without_repair,1,2059571364,park,1917,Деревянный,0,0,"12,1 м2"
1389,"улица Докучаева, 38",4000000,5,10,1,38.4,Пермь,standard,1,2059278010,park,2003,Железобетонный,0,0,"8,7 м2"
1390,"Уссурийская улица, 25",3700000,11,16,1,42.1,Пермь,standard,1,2059546586,park,2013,Железобетонный,0,0,"12,1 м2"
1391,"улица Карбышева, 86",3000000,2,9,1,34.9,Пермь,standard,1,2059550079,park,1987,Железобетонный,0,0,"8,9 м2"
1392,"улица Куфонина, 18",3999000,6,10,1,37.0,Пермь,standard,1,2059392874,park,1991,Железобетонный,Центральное,0,9 м2
1393,"улица Яблочкова, 3",5300000,17,17,1,45.6,Пермь,standard,1,2058445301,park,2023,Железобетонный,Центральное,0,"11,4 м2"
1394,"бульвар Гагарина, 18",7200000,16,17,1,45.7,Пермь,well_done,1,2059531764,park,2022,Железобетонный,Центральное,0,"18,5 м2"
1395,"улица Гашкова, 51",4891448,6,16,1,37.61,Пермь,well_done,1,2059319330,park,2022,Железобетонный,Центральное,0,0
1396,"улица Докучаева, 38",4450000,1,10,1,38.3,Пермь,well_done,1,2059571453,park,2003,Железобетонный,0,0,"11,8 м2"
1397,"улица Генерала Черняховского, 57",3300000,1,10,1,39.4,Пермь,well_done,1,2059312311,park,2011,Железобетонный,0,0,9 м2
1398,"улица Бумажников, 20",1800000,5,5,1,25.8,Пермь,without_repair,1,2059261695,park,1972,Железобетонный,Квартирное (квартирный котел),Свайный,6 м2
1399,"улица Старцева, 1",3350000,3,9,1,34.5,Пермь,without_repair,1,2059597713,park,1987,Железобетонный,0,Свайный,9 м2
1400,"Октябрьская улица, 181/2к1",10500000,10,19,1,47.3,Краснодар,well_done,1,2059180147,garden,2017,Железобетонный,Центральное,0,"13,1 м2"
1401,"Домбайская улица, 61",5600000,18,24,1,40.55,Краснодар,well_done,1,2059598433,garden,2018,Железобетонный,Центральное,0,"11,1 м2"
1402,"улица Красных Партизан, 1/4к2",6700000,10,10,1,50.0,Краснодар,well_done,1,2056807855,garden,2020,Железобетонный,0,0,5 м2
